2025-12-05 21:18:57 | khan92 | gnome-shell | 70.1 | 2.8
2025-12-05 21:18:57 | khan92 | chrome | 13.6 | 2.6
2025-12-05 21:18:57 | khan92 | code | 8.5 | 2.6
2025-12-05 21:18:57 | khan92 | chrome | 4.0 | 1.2
2025-12-05 21:18:57 | khan92 | code | 3.8 | 0.9
2025-12-05 21:18:57 | khan92 | chrome | 2.9 | 2.6
2025-12-05 21:18:57 | khan92 | code | 2.1 | 2.9
2025-12-05 21:18:57 | khan92 | code | 1.3 | 1.2
2025-12-05 21:18:57 | khan92 | code | 0.9 | 0.9
2025-12-05 21:18:57 | khan92 | chrome | 0.8 | 1.2
2025-12-05 21:19:27 | khan92 | gnome-shell | 72.7 | 2.8
2025-12-05 21:19:27 | khan92 | chrome | 12.9 | 2.6
2025-12-05 21:19:27 | khan92 | code | 9.1 | 2.6
2025-12-05 21:19:27 | khan92 | code | 4.5 | 1.0
2025-12-05 21:19:27 | khan92 | chrome | 3.7 | 1.2
2025-12-05 21:19:27 | khan92 | chrome | 2.7 | 2.6
2025-12-05 21:19:27 | khan92 | code | 2.2 | 3.2
2025-12-05 21:19:27 | khan92 | code | 1.3 | 1.2
2025-12-05 21:19:27 | khan92 | code | 0.8 | 0.9
2025-12-05 21:19:27 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:19:34 | khan92 | gnome-shell | 72.4 | 2.8
2025-12-05 21:19:34 | khan92 | chrome | 12.7 | 2.6
2025-12-05 21:19:34 | khan92 | code | 9.1 | 2.7
2025-12-05 21:19:34 | khan92 | code | 4.5 | 1.0
2025-12-05 21:19:34 | khan92 | chrome | 3.7 | 1.2
2025-12-05 21:19:34 | khan92 | chrome | 2.7 | 2.6
2025-12-05 21:19:34 | khan92 | code | 2.2 | 3.2
2025-12-05 21:19:34 | khan92 | code | 1.3 | 1.2
2025-12-05 21:19:34 | khan92 | code | 0.8 | 0.9
2025-12-05 21:19:34 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:20:04 | khan92 | ps | 100 | 0.0
2025-12-05 21:20:04 | khan92 | gnome-shell | 71.9 | 2.8
2025-12-05 21:20:04 | khan92 | chrome | 12.0 | 2.6
2025-12-05 21:20:04 | khan92 | code | 9.2 | 2.6
2025-12-05 21:20:04 | khan92 | code | 4.6 | 0.9
2025-12-05 21:20:04 | khan92 | chrome | 3.5 | 1.2
2025-12-05 21:20:04 | khan92 | chrome | 2.6 | 2.6
2025-12-05 21:20:04 | khan92 | code | 2.1 | 2.6
2025-12-05 21:20:04 | khan92 | chrome | 2.1 | 0.8
2025-12-05 21:20:04 | khan92 | code | 1.3 | 1.2
2025-12-05 21:20:34 | khan92 | ps | 100 | 0.0
2025-12-05 21:20:34 | khan92 | gnome-shell | 70.2 | 2.8
2025-12-05 21:20:34 | khan92 | chrome | 11.5 | 2.6
2025-12-05 21:20:34 | khan92 | code | 9.2 | 2.6
2025-12-05 21:20:34 | khan92 | code | 4.6 | 1.0
2025-12-05 21:20:34 | khan92 | chrome | 3.3 | 1.2
2025-12-05 21:20:34 | khan92 | chrome | 2.4 | 2.6
2025-12-05 21:20:34 | khan92 | code | 2.0 | 2.6
2025-12-05 21:20:34 | khan92 | code | 1.3 | 1.2
2025-12-05 21:20:34 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:21:04 | khan92 | ps | 200 | 0.0
2025-12-05 21:21:04 | khan92 | gnome-shell | 69.6 | 2.7
2025-12-05 21:21:04 | khan92 | chrome | 11.4 | 2.7
2025-12-05 21:21:04 | khan92 | code | 9.2 | 2.6
2025-12-05 21:21:04 | khan92 | code | 4.7 | 0.9
2025-12-05 21:21:04 | khan92 | chrome | 3.3 | 1.3
2025-12-05 21:21:04 | khan92 | chrome | 2.4 | 2.6
2025-12-05 21:21:04 | khan92 | code | 2.0 | 2.6
2025-12-05 21:21:04 | khan92 | code | 1.2 | 1.2
2025-12-05 21:21:04 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:21:34 | khan92 | gnome-shell | 69.1 | 2.7
2025-12-05 21:21:34 | khan92 | chrome | 12.1 | 3.0
2025-12-05 21:21:34 | khan92 | code | 9.1 | 2.6
2025-12-05 21:21:34 | khan92 | code | 4.7 | 0.9
2025-12-05 21:21:34 | khan92 | chrome | 3.5 | 1.2
2025-12-05 21:21:34 | khan92 | chrome | 2.5 | 2.6
2025-12-05 21:21:34 | khan92 | code | 1.9 | 2.6
2025-12-05 21:21:34 | khan92 | code | 1.2 | 1.2
2025-12-05 21:21:34 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:21:34 | mysql | mysqld | 0.8 | 2.5
2025-12-05 21:22:04 | khan92 | ps | 200 | 0.0
2025-12-05 21:22:04 | khan92 | gnome-shell | 70.0 | 2.7
2025-12-05 21:22:04 | khan92 | chrome | 12.9 | 2.6
2025-12-05 21:22:04 | khan92 | code | 9.0 | 2.6
2025-12-05 21:22:04 | khan92 | code | 4.8 | 0.9
2025-12-05 21:22:04 | khan92 | chrome | 4.0 | 1.3
2025-12-05 21:22:04 | khan92 | chrome | 2.4 | 2.6
2025-12-05 21:22:04 | khan92 | code | 1.8 | 2.6
2025-12-05 21:22:04 | khan92 | code | 1.1 | 1.2
2025-12-05 21:22:04 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:22:34 | khan92 | gnome-shell | 71.4 | 2.7
2025-12-05 21:22:34 | khan92 | code | 9.1 | 2.7
2025-12-05 21:22:34 | khan92 | code | 4.9 | 0.9
2025-12-05 21:22:34 | khan92 | code | 1.8 | 2.6
2025-12-05 21:22:34 | khan92 | code | 1.1 | 1.2
2025-12-05 21:22:34 | khan92 | Xwayland | 0.8 | 0.6
2025-12-05 21:22:34 | mysql | mysqld | 0.8 | 2.5
2025-12-05 21:22:34 | khan92 | code | 0.6 | 0.9
2025-12-05 21:22:34 | khan92 | code | 0.3 | 0.7
2025-12-05 21:22:34 | khan92 | gnome-terminal- | 0.3 | 0.3
2025-12-05 21:23:04 | khan92 | ps | 200 | 0.0
2025-12-05 21:23:04 | khan92 | gnome-shell | 74.5 | 2.8
2025-12-05 21:23:04 | khan92 | chrome | 12.5 | 2.5
2025-12-05 21:23:04 | khan92 | code | 9.4 | 2.6
2025-12-05 21:23:04 | khan92 | code | 5.1 | 1.0
2025-12-05 21:23:04 | khan92 | chrome | 3.0 | 0.8
2025-12-05 21:23:04 | khan92 | chrome | 3.0 | 1.1
2025-12-05 21:23:04 | khan92 | chrome | 1.9 | 1.0
2025-12-05 21:23:04 | khan92 | chrome | 1.7 | 0.9
2025-12-05 21:23:04 | khan92 | code | 1.7 | 2.6
2025-12-05 21:23:34 | khan92 | ps | 100 | 0.0
2025-12-05 21:23:34 | khan92 | gnome-shell | 74.3 | 2.7
2025-12-05 21:23:34 | khan92 | chrome | 59.8 | 0.9
2025-12-05 21:23:34 | khan92 | chrome | 10.8 | 4.5
2025-12-05 21:23:34 | khan92 | chrome | 9.8 | 2.8
2025-12-05 21:23:34 | khan92 | code | 9.4 | 2.6
2025-12-05 21:23:34 | khan92 | chrome | 5.5 | 0.9
2025-12-05 21:23:34 | khan92 | code | 5.1 | 0.9
